carc,rarc,cpt_family,billed,lines,claims,total_gross_variance,systemic,claim_numbers
CO-231,N20,CT head,2260.0,5,5,4777.85,True,12598650; 12608694; 12636983; 12662009; 12666472
CO-11,N657,OB ultrasound,980.0,5,5,2071.81,True,12643520; 12646105; 12648246; 12648628; 12651804
OA-70,,CT abdomen/pelvis,4861.0,1,1,2067.87,False,12647177
PR-96,N130,CPT 770xx,4983.0,1,1,2055.49,False,12560680
CO-16,N54,CT abdomen/pelvis,4861.0,1,1,2005.16,False,12557699
CO-97,N19,extremity angiography,4629.0,1,1,1969.18,False,12669164
CO-11,N657,OB ultrasound,1177.0,3,3,1502.1,True,12643132; 12647344; 12648438
CO-252,M127,CPT 712xx,2965.0,1,1,1261.31,False,12638892
CO-197,N54,CPT 704xx,2759.0,1,1,1173.68,False,12657824
CO-45,,CT lumbar spine,3001.0,1,1,1133.66,False,12545982
CO-150,,CPT 768xx,1191.0,2,2,1013.3,True,12603056; 12637897
CO-119,N362,CPT 765xx,2382.0,1,1,1013.3,False,12633205
CO-97,N19,chest radiograph,357.0,4,4,607.48,True,12600627; 12631753; 12631759; 12661932
PR-204; CO-45,,CPT 731xx,1466.0,1,1,532.38,False,12645292
PR-119,N362,OB ultrasound,1177.0,1,1,500.7,False,12631730
PR-204,,CPT 768xx,1191.0,1,1,491.29,False,12550988
PR-204,,screening mammography,576.0,2,2,490.06,True,12602807; 12604091
CO-204,,CPT 735xx,1009.0,1,1,429.23,False,12645292
PR-204,,US abdomen limited,991.0,1,1,421.57,False,12636584
PR-167,,US abdomen limited,991.0,1,1,421.57,False,12641766
CO-273,N657,OB ultrasound,980.0,1,1,416.89,False,12644673
CO-222,N362; N123,US abdomen limited,991.0,1,1,408.79,False,12598118
CO-16,N56,OB ultrasound,980.0,1,1,404.25,False,12563640
PR-204,,DXA,792.0,1,1,336.92,False,12655166
PR-167,,CPT 770xx,781.0,1,1,332.24,False,12623111
PR-167,,DXA,792.0,1,1,326.7,False,12572521
PR-204,,chest radiograph,500.0,1,1,212.7,False,12629258
OA-70,,chest radiograph,500.0,1,1,212.7,False,12650975
PR-204; PI-204; OA-70,,chest radiograph,500.0,1,1,206.25,False,12570744
CO-97,N19,chest radiograph,500.0,1,1,206.25,False,12606481
PR-204,,screening mammography,206.0,2,2,175.26,True,12602807; 12604091
CO-45,,screening mammography,576.0,2,2,164.59,True,12544591; 12621604
CO-45,,CPT 766xx,727.0,1,1,154.64,False,12657195
CO-231,N20,chest radiograph,357.0,1,1,147.26,False,12606481
CO-45,,screening mammography,206.0,2,2,67.31,True,12544591; 12621604
OA-23; CO-45,,CT abdomen/pelvis,4861.0,1,1,24.3,False,12588520
CO-45; PR-1,,OB ultrasound,1177.0,1,1,5.88,False,12591921
CO-45,,chest radiograph,500.0,1,1,2.5,False,12544031
CO-45; PR-2,,CPT 720xx,486.0,1,1,2.43,False,12571950
